hotel,fue_cancelada,tiempo_anticipacion_reserva_dias,anio_llegada,mes_llegada,semana_llegada,dia_llegada,noches_fin_semana,noches_semana,adultos,ninos,bebes,regimen_alimenticio,pais_origen_cliente,segmento_mercado,canal_reserva,es_huesped_recurrente_historico,total_cancelaciones_previas_cliente,total_reservas_previas_no_canceladas_cliente,tipo_habitacion_reservada,tipo_habitacion_asignada,cambios_en_reserva,agente,compania,dias_en_lista_espera,tipo_cliente_en_reserva,adr,espacios_estacionamiento_requeridos,total_solicitudes_especiales,estado_reserva,fecha_estado_reserva,nombre_completo,email,telefono,tipo_documento_identidad,numero_documento_identidad,fecha_nacimiento
Resort Hotel,0,68,2015,Julio,27,1,0,4,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,240.0,,0,Transient,97.0,0,3,Salida,5/07/15,Jerónimo Villar Arco,emmamayo@example.org,+34942204138,DNI,39633887,1973-07-12
Resort Hotel,0,18,2015,Julio,27,1,0,4,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,241.0,,0,Transient,154.77,0,1,Salida,5/07/15,Marcos Marquez Ruiz,ramat@example.com,+34826 198 762,CE,773356673,1988-10-16
Resort Hotel,0,37,2015,Julio,27,1,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,241.0,,0,Transient,94.71,0,0,Salida,5/07/15,Fortunato Ferrández-Segura,ordonezabril@example.net,+34949961743,CE,636014985,2001-04-04
Resort Hotel,0,68,2015,Julio,27,1,0,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,240.0,,0,Transient,97.0,0,3,Salida,5/07/15,Eleuterio del Pou,yustebonifacio@example.net,+34813 63 29 44,DNI,76173917,1992-04-15
Resort Hotel,0,37,2015,Julio,27,1,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,8.0,,0,Contract,97.5,0,0,Salida,5/07/15,Valentín Ferrández,cfeijoo@example.com,+34 846 243 190,DNI,36484560,1994-03-12
Resort Hotel,0,12,2015,Julio,27,1,0,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,240.0,,0,Transient,88.2,0,0,Salida,2/07/15,Íngrid Vergara Paz,,+34873 470 788,Pasaporte,P7434143,1968-03-05
Resort Hotel,0,0,2015,Julio,27,1,0,1,2,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,,110.0,0,Transient,107.42,0,0,Salida,2/07/15,Esther Folch,gustavo40@example.org,+34 722 387 928,CE,388315082,1958-07-16
Resort Hotel,0,7,2015,Julio,27,1,0,4,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,250.0,,0,Transient,153.0,0,1,Salida,5/07/15,Joaquina Rios,qduran@example.net,+34841 622 560,Pasaporte,P1751074,1985-05-27
Resort Hotel,0,37,2015,Julio,27,1,1,4,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,241.0,,0,Transient,97.29,0,1,Salida,6/07/15,Nieves Calvet Águila,,+34901490140,CE,603516800,1959-05-22
Resort Hotel,0,72,2015,Julio,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,250.0,,0,Transient,84.67,0,1,Salida,7/07/15,Sebastián Polo,haydeenunez@example.net,+34 844 84 43 60,DNI,10333203,1997-10-29
Resort Hotel,0,72,2015,Julio,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,250.0,,0,Transient,84.67,0,1,Salida,7/07/15,Arsenio Hurtado Coello,acarrasco@example.com,+34 943 943 059,Pasaporte,P6486307,1974-08-07
Resort Hotel,0,72,2015,Julio,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,250.0,,0,Transient,99.67,0,1,Salida,7/07/15,Ofelia Heras-Río,ymaestre@example.com,+34 983 835 232,CE,166091857,1974-01-24
Resort Hotel,0,127,2015,Julio,27,1,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,115.0,,0,Contract,94.95,0,1,Salida,1/07/15,Pancho Albero,vnevado@example.com,+34 718 836 109,DNI,63235774,1966-07-15
Resort Hotel,0,78,2015,Julio,27,1,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,5.0,,0,Transient,63.6,1,0,Salida,8/07/15,Tecla Sala Torrents,inovoa@example.org,+34 872209171,DNI,98579066,1970-01-05
Resort Hotel,0,48,2015,Julio,27,1,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,8.0,,0,Contract,79.5,0,0,Salida,8/07/15,Ildefonso del Montalbán,tamaritjosue@example.net,+34 828 08 21 79,DNI,54794706,1965-04-19
Resort Hotel,1,60,2015,Julio,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,240.0,,0,Transient,107.0,0,2,Cancelada,11/05/15,Águeda Lara,,+34800 10 29 03,Pasaporte,P6922390,1986-11-10
Resort Hotel,0,77,2015,Julio,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,240.0,,0,Transient,94.0,0,0,Salida,8/07/15,Diana Pizarro Caro,vargasagapito@example.com,+34 879 26 78 19,CE,388704104,1947-06-23
Resort Hotel,0,99,2015,Julio,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,240.0,,0,Transient,87.3,1,1,Salida,8/07/15,Rafaela Pilar Gelabert Alvarez,carmelo98@example.net,+34 887046731,DNI,49764289,1961-06-20
Resort Hotel,0,118,2015,Julio,27,1,4,10,1,0.0,0,BB,,Direct,Direct,0,0,0,A,A,2,,,0,Transient,62.0,0,2,Salida,15/07/15,Xiomara Ricarda Bartolomé Fonseca,vinastere@example.org,+34888 19 02 60,Pasaporte,P9998581,2001-08-01
Resort Hotel,0,95,2015,Julio,27,1,4,11,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,241.0,,0,Transient,63.86,0,0,Salida,16/07/15,Custodio Mate Cid,,+34876 553 112,Pasaporte,P9441363,1993-04-09
Resort Hotel,1,96,2015,Julio,27,1,2,8,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,,,0,Transient,108.3,0,2,Cancelada,29/05/15,José Prat,eclemente@example.org,+34 976 50 39 77,DNI,73428222,1959-11-12
Resort Hotel,0,69,2015,Julio,27,2,2,4,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,175.0,,0,Transient,65.5,0,0,Salida,8/07/15,Marisela Dora Pinto Amorós,panfilo37@example.org,+34 877 05 30 06,DNI,86672680,1999-05-26
Resort Hotel,1,45,2015,Julio,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,241.0,,0,Transient,108.8,0,1,Cancelada,19/05/15,Encarna Elías Llabrés,ponsteo@example.net,+34 983768270,DNI,62936224,1995-07-31
Resort Hotel,1,40,2015,Julio,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,241.0,,0,Transient,108.8,0,1,Cancelada,19/06/15,Santos Solís Hernando,,+34987 898 206,DNI,38344183,1959-03-04
Resort Hotel,0,15,2015,Julio,27,2,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,240.0,,0,Transient,98.0,0,0,Salida,6/07/15,Mayte Segarra Lucena,virgiliomoraleda@example.org,+34 942 246 896,DNI,85681446,1960-09-14
Resort Hotel,0,36,2015,Julio,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,241.0,,0,Transient,108.8,0,1,Salida,6/07/15,Nélida Piñeiro Arribas,,+34 928 38 07 32,CE,690758331,1970-03-20
Resort Hotel,1,43,2015,Julio,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,241.0,,0,Transient,108.8,0,0,Cancelada,23/05/15,Íngrid Albero Bermudez,,+34942 962 925,CE,525098455,1960-02-21
Resort Hotel,0,70,2015,Julio,27,2,2,3,2,0.0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,250.0,,0,Transient,137.0,0,1,Salida,7/07/15,Soraya Verdejo Moraleda,dalamo@example.net,+34 977 297 024,DNI,48187905,1992-01-19
Resort Hotel,1,45,2015,Julio,27,2,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,241.0,,0,Transient,117.81,0,0,Cancelada,18/05/15,Celso Llobet Mena,,+34988951295,DNI,57030088,1961-11-04
Resort Hotel,0,45,2015,Julio,27,2,2,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,8.0,,0,Contract,79.5,0,0,Salida,7/07/15,Raquel Borrego Ibarra,alexandra56@example.com,+34885 36 80 77,DNI,95489512,1984-11-26
Resort Hotel,0,16,2015,Julio,27,2,2,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,,,0,Transient,123.0,0,0,Salida,7/07/15,Patricio Blanch-Gimeno,tflor@example.org,+34900443511,DNI,98135346,1948-12-05
Resort Hotel,0,70,2015,Julio,27,2,2,3,2,0.0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,250.0,,0,Transient,137.0,0,1,Salida,7/07/15,Jose Ignacio Tenorio Blanco,david85@example.org,+34875127381,DNI,23545189,1969-07-08
Resort Hotel,0,107,2015,Julio,27,2,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,240.0,,0,Transient,110.7,0,2,Salida,9/07/15,Josefina Pagès Suárez,sampergeronimo@example.com,+34945195677,Pasaporte,P3954347,1962-11-05
Resort Hotel,1,47,2015,Julio,27,2,2,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,240.0,,0,Transient,153.0,0,0,Cancelada,2/06/15,Vilma del Rojas,,+34 887667610,Pasaporte,P9748843,1961-11-03
Resort Hotel,0,96,2015,Julio,27,2,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,134.0,,0,Transient,58.95,0,1,Salida,9/07/15,Toño Cánovas Nogueira,lorenzainiesta@example.org,+34825 33 66 51,Pasaporte,P8283963,1988-09-22
Resort Hotel,0,113,2015,Julio,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,156.0,,0,Transient-Party,82.88,0,2,Salida,9/07/15,María Carmen Valle Morata,rocagodofredo@example.com,+34 823 66 18 96,Pasaporte,P2747421,1999-11-07
Resort Hotel,0,90,2015,Julio,27,2,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,243.0,,0,Contract,82.35,0,0,Salida,9/07/15,Nilo Aguiló Lerma,bernardo79@example.com,+34902 53 61 50,DNI,76695146,1977-06-06
Resort Hotel,0,50,2015,Julio,27,2,2,5,2,0.0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,241.0,,0,Transient,119.35,0,1,Salida,9/07/15,Hilario Juan José Daza Calzada,xmurillo@example.com,+34921 07 76 15,Pasaporte,P7966585,1968-01-17
Resort Hotel,0,113,2015,Julio,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,156.0,,0,Transient-Party,67.58,0,2,Salida,9/07/15,Toño Soler Ruiz,,+34 875586974,Pasaporte,P5683942,1979-05-02
Resort Hotel,0,93,2015,Julio,27,2,3,8,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,156.0,,0,Contract,56.01,0,0,Salida,13/07/15,Diana Llopis Osorio,javiera85@example.org,+34978 285 369,DNI,73913311,1952-03-07
Resort Hotel,0,76,2015,Julio,27,2,4,10,2,0.0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,243.0,,0,Contract,110.7,0,0,Salida,16/07/15,Eliana Barriga Blanca,jose-antonio60@example.com,+34821180313,CE,557753752,1999-12-26
Resort Hotel,0,3,2015,Julio,27,2,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,240.0,,0,Transient,88.2,1,0,Salida,3/07/15,Itziar Sandoval Menéndez,migueleleuterio@example.com,+34 749835924,CE,233469154,1944-12-22
Resort Hotel,0,1,2015,Julio,27,2,0,1,2,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,240.0,,0,Transient,147.0,1,0,Salida,3/07/15,José Luis Cervantes Pinilla,jimenezfelipa@example.net,+34823 18 85 80,CE,206990650,1982-07-14
Resort Hotel,0,1,2015,Julio,27,2,0,1,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,,,0,Transient,107.0,1,2,Salida,3/07/15,Victor Manuel Vilar,mjara@example.org,+34 822870669,CE,460843676,1995-10-22
Resort Hotel,0,0,2015,Julio,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,,,0,Transient,147.0,0,0,Salida,3/07/15,Rosario Carretero Garay,,+34 815 95 42 20,Pasaporte,P3380017,1962-04-22
Resort Hotel,0,0,2015,Julio,27,2,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,240.0,,0,Transient,117.9,0,2,Salida,3/07/15,Anastasia Matilde Bou Suarez,cesaragudo@example.com,+34901823890,DNI,20083626,1955-12-24
Resort Hotel,0,0,2015,Julio,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,,,0,Transient,123.0,0,0,Salida,3/07/15,Isidoro Jover Alonso,salomsamuel@example.net,+34927 179 183,CE,777094194,1946-10-03
Resort Hotel,0,14,2015,Julio,27,2,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,242.0,,0,Transient,98.0,0,1,Salida,4/07/15,Sergio Pedro Jordán,roberto65@example.net,+34 843 465 893,Pasaporte,P1134758,2001-09-09
Resort Hotel,0,10,2015,Julio,27,2,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,241.0,,0,Transient,117.81,0,0,Salida,4/07/15,Marisol Peiró Salvador,ignaciominguez@example.net,+34880 540 005,Pasaporte,P2381959,1955-07-11
Resort Hotel,0,5,2015,Julio,27,2,0,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,240.0,,0,Transient,135.0,1,2,Salida,4/07/15,Maribel Mercader Sandoval,cabezaabel@example.com,+34977 15 16 37,CE,777746392,1971-03-28
Resort Hotel,0,17,2015,Julio,27,2,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,250.0,,0,Transient,133.0,0,1,Salida,5/07/15,Julio César Varela,consuelo00@example.net,+34902 28 72 67,Pasaporte,P5188610,1958-09-13
Resort Hotel,0,93,2015,Julio,27,2,0,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,115.0,,0,Contract,58.95,0,0,Salida,5/07/15,Fortunata del Calzada,lupevelez@example.org,+34 884 59 91 20,CE,451160373,2006-06-02
Resort Hotel,1,3,2015,Julio,27,2,0,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,240.0,,0,Transient,136.33,0,2,Cancelada,29/06/15,Beatriz Sanjuan,aaron51@example.com,+34 882775794,DNI,35875150,1948-05-28
Resort Hotel,0,10,2015,Julio,27,3,0,2,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,240.0,,0,Transient,153.0,1,0,Salida,5/07/15,Amancio Azcona Ugarte,gvalle@example.net,+34 827699290,Pasaporte,P4090973,1974-08-14
Resort Hotel,0,3,2015,Julio,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,240.0,,0,Transient,110.5,0,0,Salida,5/07/15,Curro Ballesteros Molina,vallalvaro@example.org,+34803702108,DNI,36689010,1998-09-25
Resort Hotel,0,51,2015,Julio,27,3,0,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,242.0,,0,Transient,97.0,0,0,Salida,5/07/15,Emilio Paniagua Águila,ozurita@example.com,+34849480579,DNI,49800969,1971-02-27
Resort Hotel,1,71,2015,Julio,27,3,0,2,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,242.0,,0,Transient,110.3,0,2,Cancelada,16/06/15,Manuela Jurado,,+34978644764,CE,285066003,1997-07-15
Resort Hotel,1,63,2015,Julio,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,240.0,,0,Transient,82.0,0,2,Cancelada,18/06/15,Fidel Casas Rosell,jacobobernat@example.com,+34826447216,Pasaporte,P3039991,2000-10-20
Resort Hotel,1,62,2015,Julio,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,240.0,,0,Transient,97.0,0,1,Cancelada,3/07/15,Lucho Bartolomé Larrañaga,,+34 980 33 32 73,CE,618908485,1994-12-25
Resort Hotel,1,101,2015,Julio,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,240.0,,0,Transient,73.8,0,1,Cancelada,12/06/15,Jimena Tejero,,+34 941644947,DNI,72491511,1992-12-29
Resort Hotel,0,2,2015,Julio,27,3,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,3.0,,0,Transient,91.5,0,0,Salida,5/07/15,Luna Benet Colomer,mollangeles@example.net,+34 875 825 195,CE,633795802,1999-03-05
Resort Hotel,0,15,2015,Julio,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,240.0,,0,Transient,114.5,0,0,Salida,5/07/15,Camilo Leoncio Cabo Páez,,+34 947 99 74 93,Pasaporte,P8109581,1974-04-18
Resort Hotel,1,51,2015,Julio,27,3,0,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,242.0,,0,Transient,110.3,0,0,Cancelada,9/06/15,Patricio Serna-Montesinos,,+34971619318,Pasaporte,P1354495,1971-10-01
Resort Hotel,0,3,2015,Julio,27,3,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,240.0,,0,Transient,90.9,1,0,Salida,6/07/15,Francisco Javier de Olivé,munozjose-antonio@example.com,+34 854 67 15 71,CE,861901362,1982-05-25
Resort Hotel,1,48,2015,Julio,27,3,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,240.0,,0,Transient,123.0,0,0,Cancelada,26/05/15,Rosaura Lladó Gimenez,sflores@example.org,+34825481786,DNI,45636656,1961-11-28
Resort Hotel,0,2,2015,Julio,27,3,2,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,240.0,,0,Transient,122.0,0,0,Salida,7/07/15,Ovidio Carvajal Colom,maristelasegui@example.net,+34 819731241,DNI,69507377,2003-04-27
Resort Hotel,0,72,2015,Julio,27,3,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,105.0,,0,Transient,110.7,1,0,Salida,7/07/15,Natividad Cid,hermenegildo55@example.com,+34 920 21 66 83,CE,224928964,1947-07-18
Resort Hotel,0,81,2015,Julio,27,3,2,6,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,5.0,,0,Transient,85.86,0,0,Salida,11/07/15,Jaime Méndez Mayoral,juanitocorominas@example.net,+34986 424 096,CE,396017442,1966-11-20
Resort Hotel,0,99,2015,Julio,27,3,2,7,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,40.0,,0,Contract,58.95,0,0,Salida,12/07/15,Azeneth Orozco Cantero,estergabaldon@example.com,+34824453803,CE,884579778,1973-10-11
Resort Hotel,1,368,2015,Julio,27,3,3,7,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,40.0,,0,Contract,55.68,0,0,Cancelada,19/05/15,Susana Prats Zapata,cipriano06@example.org,+34875 801 230,DNI,91104168,2002-09-21
Resort Hotel,0,364,2015,Julio,27,3,3,7,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,40.0,,0,Contract,55.68,0,0,Salida,13/07/15,Elena Font-Monreal,nicanorbarcena@example.com,+34 883 397 889,Pasaporte,P6269958,2003-12-18
Resort Hotel,1,81,2015,Julio,27,3,3,7,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,250.0,,0,Transient,124.0,0,1,Cancelada,9/06/15,Áurea Burgos-Borja,,+34974 181 130,DNI,36810990,1979-10-28
Resort Hotel,0,99,2015,Julio,27,3,3,7,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,115.0,,0,Contract,111.15,0,0,Salida,13/07/15,Felipe Prado Gilabert,ferrerulises@example.com,+34875791037,Pasaporte,P9770578,1983-06-05
Resort Hotel,0,324,2015,Julio,27,3,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,40.0,,0,Contract,134.73,0,0,Salida,17/07/15,Teófila del Barba,,+34 927838201,Pasaporte,P6545979,1984-03-24
Resort Hotel,0,69,2015,Julio,27,3,4,10,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,241.0,,0,Transient,92.45,0,1,Salida,17/07/15,Godofredo Gargallo Uribe,usoto@example.org,+34 844 645 081,DNI,52923246,1959-03-28
Resort Hotel,1,79,2015,Julio,27,3,6,15,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,242.0,,0,Transient,108.73,0,2,Cancelada,15/04/15,Ainara Ana Sofía Morante Balaguer,jestevez@example.com,+34821402979,CE,657436440,1946-01-11
Resort Hotel,0,12,2015,Julio,27,3,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,240.0,,0,Transient,73.8,0,0,Salida,4/07/15,Flavia Sala Sanmiguel,andresfatima@example.com,+34885 10 16 67,DNI,81832210,1987-09-10
Resort Hotel,0,9,2015,Julio,27,3,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,240.0,,0,Transient,98.0,1,2,Salida,4/07/15,Benigno del Cañete,adriantamayo@example.org,+34885606591,DNI,17999653,1945-12-19
Resort Hotel,0,1,2015,Julio,27,3,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,240.0,,0,Transient,131.0,0,1,Salida,4/07/15,Félix Geraldo Collado Pagès,mduenas@example.org,+34954652498,CE,467203660,1963-06-27
Resort Hotel,0,21,2015,Julio,27,3,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,240.0,,0,Transient,123.0,0,0,Salida,4/07/15,Albina Chelo Céspedes Colom,amaropalacios@example.com,+34943 78 69 79,Pasaporte,P3504655,2003-02-27
Resort Hotel,0,9,2015,Julio,27,3,0,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,241.0,,0,Transient,94.71,0,0,Salida,4/07/15,Seve Rius Clavero,,+34972 90 71 64,Pasaporte,P9521104,1996-05-12
Resort Hotel,0,109,2015,Julio,27,3,0,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,240.0,,0,Transient,123.0,0,2,Salida,4/07/15,Mercedes Salom Luque,camachopacifica@example.org,+34 803659635,Pasaporte,P7529373,1973-05-16
Resort Hotel,1,109,2015,Julio,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,240.0,,0,Transient,123.0,0,1,Cancelada,26/05/15,Salomé Barberá Iriarte,danielabotella@example.net,+34825 420 133,CE,115040342,1960-05-12
